🕘️更新时间,#genre#
2025-11-18 06:18:04,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv1&q=gq$订阅源

📺央视频道,#genre#
CCTV-1,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv1&q=gq$订阅源
CCTV-1,http://bxtv.3a.ink/migu.php?id=cctv1$订阅源
CCTV-1,http://120.46.223.160/PHP/MG.php?id=608807420$订阅源
CCTV-2,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv2&q=gq$订阅源
CCTV-2,http://bxtv.3a.ink/migu.php?id=cctv2$订阅源
CCTV-2,http://120.46.223.160/PHP/MG.php?id=631780532$订阅源
CCTV-3,http://bxtv.3a.ink/migu.php?id=cctv3$订阅源
CCTV-3,http://120.46.223.160/PHP/MG.php?id=624878271$订阅源
CCTV-4,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv4&q=gq$订阅源
CCTV-4,http://bxtv.3a.ink/migu.php?id=cctv4$订阅源
CCTV-4,http://112.6.239.227:8207/hls/4/index.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://120.46.223.160/PHP/MG.php?id=631780421$订阅源
CCTV-5,http://bxtv.3a.ink/migu.php?id=cctv5$订阅源
CCTV-5,http://112.6.239.227:8207/hls/5/index.m3u8$订阅源
CCTV-5,http://120.46.223.160/PHP/MG.php?id=641886683$订阅源
CCTV-5+,http://bxtv.3a.ink/migu.php?id=cctv5p$订阅源
CCTV-5+,http://112.6.239.227:8207/hls/6/index.m3u8$订阅源
CCTV-5+,http://120.46.223.160/PHP/MG.php?id=641886773$订阅源
CCTV-6,http://bxtv.3a.ink/migu.php?id=cctv6$订阅源
CCTV-6,http://112.6.239.227:8207/hls/7/index.m3u8$订阅源
CCTV-6,http://120.46.223.160/PHP/MG.php?id=624878396$订阅源
CCTV-7,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv7&q=gq$订阅源
CCTV-7,http://bxtv.3a.ink/migu.php?id=cctv7$订阅源
CCTV-7,http://112.6.239.227:8207/hls/8/index.m3u8$订阅源
CCTV-7,http://120.46.223.160/PHP/MG.php?id=673168121$订阅源
CCTV-8,http://bxtv.3a.ink/migu.php?id=cctv8$订阅源
CCTV-8,http://112.6.239.227:8207/hls/9/index.m3u8$订阅源
CCTV-8,http://120.46.223.160/PHP/MG.php?id=624878356$订阅源
CCTV-9,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv9&q=gq$订阅源
CCTV-9,http://bxtv.3a.ink/migu.php?id=cctv9$订阅源
CCTV-9,http://112.6.239.227:8207/hls/10/index.m3u8$订阅源
CCTV-9,http://120.46.223.160/PHP/MG.php?id=673168140$订阅源
CCTV-10,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv10&q=gq$订阅源
CCTV-10,http://bxtv.3a.ink/migu.php?id=cctv10$订阅源
CCTV-10,http://112.6.239.227:8207/hls/11/index.m3u8$订阅源
CCTV-10,http://120.46.223.160/PHP/MG.php?id=624878405$订阅源
CCTV-11,http://bxtv.3a.ink/migu.php?id=cctv11$订阅源
CCTV-11,http://112.6.239.227:8207/hls/12/index.m3u8$订阅源
CCTV-11,http://120.46.223.160/PHP/MG.php?id=667987558$订阅源
CCTV-12,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv12&q=gq$订阅源
CCTV-12,http://bxtv.3a.ink/migu.php?id=cctv12$订阅源
CCTV-12,http://112.6.239.227:8207/hls/13/index.m3u8$订阅源
CCTV-12,http://120.46.223.160/PHP/MG.php?id=673168185$订阅源
CCTV-13,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv13&q=gq$订阅源
CCTV-13,http://bxtv.3a.ink/migu.php?id=cctv13$订阅源
CCTV-13,http://112.6.239.227:8207/hls/14/index.m3u8$订阅源
CCTV-13,http://120.46.223.160/PHP/MG.php?id=608807423$订阅源
